dag_size,edge_probability,depth,relation,class_count,entropy,largest_class_fraction,singleton_fraction,class_count_ratio
4,0.35,4,feature,56,5.558953210005305,0.045454545454545456,0.0,0.024955436720142603
4,0.35,4,consequence,354,7.772244961131231,0.017379679144385027,0.14124293785310735,0.15775401069518716
4,0.35,4,ast_identity,2244,11.131856960608399,0.000445632798573975,1.0,1.0
4,0.35,5,feature,68,5.874644526332671,0.038461538461538464,0.0,0.02564102564102564
4,0.35,5,consequence,407,7.995575620203239,0.014705882352941176,0.15233415233415235,0.15346907993966818
4,0.35,5,ast_identity,2652,11.372865060112769,0.0003770739064856712,1.0,1.0
4,0.35,6,feature,74,5.891541406655652,0.0625,0.0,0.02267156862745098
4,0.35,6,consequence,555,8.440822166859713,0.011948529411764705,0.13513513513513514,0.17003676470588236
4,0.35,6,ast_identity,3264,11.672425341971215,0.00030637254901960784,1.0,1.0
6,0.15,1,feature,45,5.491853096329673,0.022222222222222223,0.0,0.029411764705882353
6,0.15,1,consequence,94,5.795914896297271,0.03333333333333333,0.0,0.06143790849673202
6,0.15,1,ast_identity,1530,10.579315937580205,0.00065359477124183,1.0,1.0
6,0.15,2,feature,90,6.428818690495882,0.013333333333333334,0.0,0.03529411764705882
6,0.15,2,consequence,247,7.073174089826436,0.02,0.20647773279352227,0.09686274509803922
6,0.15,2,ast_identity,2550,11.316281531746432,0.000392156862745098,1.0,1.0
6,0.15,3,feature,130,6.9238592701610475,0.013507625272331155,0.0,0.02832244008714597
6,0.15,3,consequence,732,8.586063772251531,0.011111111111111112,0.31010928961748635,0.15947712418300652
6,0.15,3,ast_identity,4590,12.164278438301634,0.00021786492374727668,1.0,1.0
6,0.15,4,feature,190,7.501437472056713,0.009351432880844645,0.0,0.02865761689291101
6,0.15,4,consequence,988,9.104153929061683,0.007692307692307693,0.3157894736842105,0.14901960784313725
6,0.15,4,ast_identity,6630,12.694793154998672,0.00015082956259426848,1.0,1.0
6,0.15,5,feature,250,7.913376557917216,0.007151095732410611,0.0,0.02883506343713956
6,0.15,5,consequence,1215,9.466197431679776,0.0058823529411764705,0.3045267489711934,0.14013840830449828
6,0.15,5,ast_identity,8670,13.0818162781096,0.00011534025374855825,1.0,1.0
6,0.15,6,feature,340,8.281533639576006,0.005788982259570495,0.0,0.031746031746031744
6,0.15,6,consequence,2086,10.154970812273607,0.004761904761904762,0.3887823585810163,0.19477124183006536
6,0.15,6,ast_identity,10710,13.386670859634236,9.337068160597572e-05,1.0,1.0
6,0.25,1,feature,45,5.491853096329673,0.022222222222222223,0.0,0.029411764705882353
6,0.25,1,consequence,126,6.294708048230404,0.029411764705882353,0.0,0.08235294117647059
6,0.25,1,ast_identity,1530,10.579315937580205,0.00065359477124183,1.0,1.0
6,0.25,2,feature,90,6.428818690495882,0.013333333333333334,0.0,0.03529411764705882
6,0.25,2,consequence,319,7.502650988573723,0.01764705882352941,0.2006269592476489,0.12509803921568627
6,0.25,2,ast_identity,2550,11.316281531746432,0.000392156862745098,1.0,1.0
6,0.25,3,feature,130,6.924135439741401,0.013725490196078431,0.0,0.02832244008714597
6,0.25,3,consequence,977,9.090947032704223,0.00980392156862745,0.3091095189355169,0.21285403050108934
6,0.25,3,ast_identity,4590,12.164278438301634,0.00021786492374727668,1.0,1.0
6,0.25,4,feature,190,7.501628666381576,0.009502262443438913,0.0,0.02865761689291101
6,0.25,4,consequence,1328,9.566258037067605,0.006787330316742082,0.32680722891566266,0.20030165912518855
6,0.25,4,ast_identity,6630,12.694793154998672,0.00015082956259426848,1.0,1.0
6,0.25,5,feature,250,7.91352276534211,0.00726643598615917,0.0,0.02883506343713956
6,0.25,5,consequence,1586,9.855618268293098,0.005190311418685121,0.3146279949558638,0.18292964244521337
6,0.25,5,ast_identity,8670,13.0818162781096,0.00011534025374855825,1.0,1.0
6,0.25,6,feature,340,8.279671618367418,0.0058823529411764705,0.0,0.031746031746031744
