class_id,class_key,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,representative,operator_family,frequency,depth_score,reuse_rate,complexity,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score,class_a_survives,class_b_survives,class_b_attack_cost,class_b_auc_gns
de373ef2829d3135,"Blocked(N1, N0 | N3) || Independent(N1, N0 | N3)",48,31,2,3,3,96,1.0,0.0,0.45123287271142065,258,"Blocked(N1, N0 | N3) || Independent(N1, N0 | N3)",Blocked;Independent,0.0732824427480916,0.5,0.8123494663530739,6.0,0.5597314154368696,0.0,0.8123494663530739,3.3013498129777195,0.7766683709699944,0.0808576690928457,0.5008129359642991,True,False,2.0,0.625
6325528709ddc79c,"Blocked(N1, N2 | N0) || Independent(N1, N2 | N0)",58,35,2,3,3,116,1.0,0.0,0.45704682619979276,258,"Blocked(N1, N2 | N0) || Independent(N1, N2 | N0)",Blocked;Independent,0.0885496183206106,0.5,0.8123494663530739,6.0,0.5638493366156376,0.0,0.8123494663530739,4.067734590990404,0.7766683709699944,0.0944871737972661,0.6248182843659388,True,False,1.0,0.5
d7be5ca6c386bbdd,"Blocked(N1, N2 | N3) || Independent(N1, N2 | N3)",51,32,2,3,3,102,1.0,0.0,0.4526863610835137,258,"Blocked(N1, N2 | N3) || Independent(N1, N2 | N3)",Blocked;Independent,0.0778625954198473,0.5,0.8123494663530739,6.0,0.5608868499300349,0.0,0.8123494663530739,3.5249634086843384,0.7766683709699944,0.0846848925971951,0.5377074939030511,True,False,1.0,0.5
adc608b7896bb705,"Blocked(N1, N3 | N0) || Independent(N1, N3 | N0)",50,32,2,3,3,100,1.0,0.0,0.4526863610835137,258,"Blocked(N1, N3 | N0) || Independent(N1, N3 | N0)",Blocked;Independent,0.0763358778625954,0.5,0.8123494663530739,6.0,0.5606349415330883,0.0,0.8123494663530739,3.4558464791022927,0.7766683709699944,0.0838451979407065,0.4976546141235947,True,False,1.0,0.5
688f581c6e6b6894,"Blocked(N1, N3 | N2) || Independent(N1, N3 | N2)",4,2,2,3,3,8,1.0,0.0,0.40908170992072296,268,"Blocked(N1, N3 | N2) || Independent(N1, N3 | N2)",Blocked;Independent,0.0061068702290076,0.5,0.8123494663530739,6.0,0.5370558762037789,0.0,0.8123494663530739,0.2330939877826599,0.7766683709699944,0.0059750576957216,0.1694520976179593,,,,
7f0f3736ef3bd4fe,"Blocked(N2, N0 | N1) || Independent(N2, N0 | N1)",3,2,2,3,3,6,1.0,0.0,0.40908170992072296,261,"Blocked(N2, N0 | N1) || Independent(N2, N0 | N1)",Blocked;Independent,0.0045801526717557,0.5,0.8123494663530739,6.0,0.5368039678068324,0.0,0.8123494663530739,0.1762417956405478,0.7766683709699944,0.005135363039233,0.6216599625252344,,,,
8258b89dbb94223f,"Blocked(N2, N0 | N3) || Independent(N2, N0 | N3)",40,25,2,3,3,80,1.0,0.0,0.4425119424788625,258,"Blocked(N2, N0 | N3) || Independent(N2, N0 | N3)",Blocked;Independent,0.0610687022900763,0.5,0.8123494663530739,6.0,0.5553178924473436,0.0,0.8123494663530739,2.669810809345693,0.7766683709699944,0.066291274631635,0.6216599625252344,True,False,1.0,0.5
3f7ab9843f95651e,"Blocked(N2, N1 | N0) || Independent(N2, N1 | N0)",62,39,2,3,3,124,1.0,0.0,0.46286077968816486,258,"Blocked(N2, N1 | N0) || Independent(N2, N1 | N0)",Blocked;Independent,0.0946564885496183,0.5,0.8123494663530739,6.0,0.5664558074127262,0.0,0.8123494663530739,4.432292513687862,0.7766683709699944,0.1030785105627551,0.6216599625252344,True,False,1.0,0.5
1bfb1ae05c49204c,"Blocked(N2, N1 | N3) || Independent(N2, N1 | N3)",43,26,2,3,3,86,1.0,0.0,0.4439654308509556,258,"Blocked(N2, N1 | N3) || Independent(N2, N1 | N3)",Blocked;Independent,0.065648854961832,0.5,0.8123494663530739,6.0,0.5564733269405089,0.0,0.8123494663530739,2.8846153846153846,0.7766683709699944,0.0701184981359843,0.2896621494982626,True,False,1.0,0.5
f97fe8edc7a7f210,"Blocked(N2, N3 | N0) || Independent(N2, N3 | N0)",41,24,2,3,3,82,1.0,0.0,0.4410584541067695,258,"Blocked(N2, N3 | N0) || Independent(N2, N3 | N0)",Blocked;Independent,0.0625954198473282,0.5,0.8123494663530739,6.0,0.5551700915419646,0.0,0.8123494663530739,2.7226649319672576,0.7766683709699944,0.0658228297532398,0.6216599625252344,True,False,1.0,0.5
