class_id,k,persistence,class_size
54ef6082de2ef264,4,0.0,189
65d48fb1aa39b3e1,0,1.0,189
65d48fb1aa39b3e1,1,0.5,189
65d48fb1aa39b3e1,2,0.5,189
65d48fb1aa39b3e1,3,0.5,189
65d48fb1aa39b3e1,4,0.5,189
05894539fcdf4840,0,1.0,188
05894539fcdf4840,1,0.5,188
05894539fcdf4840,2,0.5,188
05894539fcdf4840,3,0.5,188
05894539fcdf4840,4,0.5,188
9b800db4670e2be1,0,1.0,187
9b800db4670e2be1,1,0.0,187
9b800db4670e2be1,2,0.0,187
9b800db4670e2be1,3,0.0,187
9b800db4670e2be1,4,0.0,187
fcadfa2dbea901bf,0,1.0,187
fcadfa2dbea901bf,1,0.5,187
fcadfa2dbea901bf,2,0.5,187
fcadfa2dbea901bf,3,0.5,187
fcadfa2dbea901bf,4,0.5,187
a16e3db210295541,0,1.0,186
a16e3db210295541,1,0.5,186
a16e3db210295541,2,0.5,186
a16e3db210295541,3,0.5,186
a16e3db210295541,4,0.5,186
6a2060297152f5d7,0,1.0,183
6a2060297152f5d7,1,0.5,183
6a2060297152f5d7,2,0.5,183
6a2060297152f5d7,3,0.5,183
6a2060297152f5d7,4,0.5,183
59a8881b96fb5ada,0,1.0,182
59a8881b96fb5ada,1,1.0,182
59a8881b96fb5ada,2,1.0,182
59a8881b96fb5ada,3,1.0,182
59a8881b96fb5ada,4,1.0,182
5a5194b943ca7fb0,0,1.0,181
5a5194b943ca7fb0,1,0.5,181
5a5194b943ca7fb0,2,0.5,181
5a5194b943ca7fb0,3,0.5,181
5a5194b943ca7fb0,4,0.5,181
9cf1065f26518c10,0,1.0,181
9cf1065f26518c10,1,0.5,181
9cf1065f26518c10,2,0.5,181
9cf1065f26518c10,3,0.5,181
9cf1065f26518c10,4,0.5,181
c595b30162c25e08,0,1.0,178
c595b30162c25e08,1,0.5,178
c595b30162c25e08,2,0.5,178
c595b30162c25e08,3,0.5,178
c595b30162c25e08,4,0.5,178
5c765713553f954a,0,1.0,175
5c765713553f954a,1,0.5,175
5c765713553f954a,2,0.5,175
5c765713553f954a,3,0.5,175
5c765713553f954a,4,0.5,175
a3de368c5fdff3c3,0,1.0,175
a3de368c5fdff3c3,1,1.0,175
a3de368c5fdff3c3,2,1.0,175
a3de368c5fdff3c3,3,0.5,175
a3de368c5fdff3c3,4,0.5,175
07bc49e1c055f3b2,0,1.0,174
07bc49e1c055f3b2,1,0.5,174
07bc49e1c055f3b2,2,0.5,174
07bc49e1c055f3b2,3,0.5,174
07bc49e1c055f3b2,4,0.5,174
749b3152bc4c62b7,0,1.0,174
749b3152bc4c62b7,1,1.0,174
749b3152bc4c62b7,2,0.0,174
749b3152bc4c62b7,3,0.0,174
749b3152bc4c62b7,4,0.0,174
68e277f026e4f333,0,1.0,173
68e277f026e4f333,1,1.0,173
68e277f026e4f333,2,0.0,173
68e277f026e4f333,3,0.0,173
68e277f026e4f333,4,0.0,173
bc0d4043cdbf6ab1,0,1.0,172
bc0d4043cdbf6ab1,1,0.5,172
bc0d4043cdbf6ab1,2,0.5,172
bc0d4043cdbf6ab1,3,0.5,172
bc0d4043cdbf6ab1,4,0.5,172
25572c9e75be476a,0,1.0,171
25572c9e75be476a,1,0.5,171
25572c9e75be476a,2,0.5,171
25572c9e75be476a,3,0.5,171
25572c9e75be476a,4,0.5,171
218c9377835c7fdd,0,1.0,170
218c9377835c7fdd,1,0.5,170
218c9377835c7fdd,2,0.5,170
218c9377835c7fdd,3,0.5,170
218c9377835c7fdd,4,0.5,170
20441710b6474ee5,0,1.0,169
20441710b6474ee5,1,0.5,169
20441710b6474ee5,2,0.5,169
20441710b6474ee5,3,0.5,169
20441710b6474ee5,4,0.5,169
33c20b0013778993,0,1.0,169
